qs_id,statement_number,statement
QS181,1,"Local authorities identify in the Local Plan, local transport plan and other key strategies how they will address air pollution, including enabling zero- and low-emission travel and developing buildings and spaces to reduce exposure to air pollution."
QS181,2,Local planning authorities assess proposals to minimise and mitigate road-traffic-related air pollution in planning applications for major developments.
QS181,3,Public sector organisations reduce emissions from their vehicle fleets to address air pollution.
QS181,4,"Children, young people and adults with chronic respiratory or cardiovascular conditions are given advice at routine health appointments on what to do when outdoor air quality is poor."
